hostname,country,status,platform,page_load(ms)
123Ponds.com,US,,Yahoo! Ecommerce,418
123Ponds.com,US,,Yahoo! Ecommerce,418
123Ponds.com,US,,Yahoo! Ecommerce,418
123Ponds.com,US,,Yahoo! Ecommerce,418
123Stores.com,US,,,2369
1Sale.com,US,,,443
1Sale.com,US,,,443
2ndWindExercise.com,US,,,360
3balls.com,US,,,347
1800Mattress.com,US,,,465
SixPackBags.com,US,,Magento,747
SixPackBags.com,US,,Magento,747
80sTees.com,CA,,Shopify,71
SixPackBags.com,US,,Magento,747
4wd.com,US,,,1322
A1PoolParts.com,US,,,374
ArmaniExchange.com,IE,,,1090
ShopMyExchange.com,US,,Oracle Commerce,575
ShopMyExchange.com,US,,Oracle Commerce,575
ShopMyExchange.com,US,,Oracle Commerce,575
Abercrombie.com,US,,,625
Abercrombie.com,US,,,625
Abt.com,EU,,,571
Abercrombie.com,US,,,625
AbesofMaine.com,US,,,557
Academy.com,US,,,174
ActiveRideShop.com,US,,Magento,524
ActiveRideShop.com,US,,Magento,524
ActiveRideShop.com,US,,Magento,524
AccessoryGeeks.com,US,,Magento,1320
AdoreMe.com,US,,,552
adidas.com,DE,,Demandware,600
adidas.com,DE,,Demandware,600
adidas.com,DE,,Demandware,600
AdaptiveMall.com,US,,Yahoo! Ecommerce,283
AJMadison.com,US,,,528
AJMadison.com,US,,,528
AirgunDepot.com,US,,Yahoo! Ecommerce,329
AlbeeBaby.com,US,,Yahoo! Ecommerce,379
AlbeeBaby.com,US,,Yahoo! Ecommerce,379
Shop.Safeway.com,US,,,469
AldoShoes.com,US,,Hybris,165
Alibris.com,US,,,723
AlexandAni.com,US,,Magento,244
ForYourLegs.com,US,,,811
AlliedElec.com,US,,,612
AlsSports.com,US,,,1760
AlsSports.com,US,,,1760
AMainHobbies.com,US,,,893
AlsSports.com,US,,,1760
AmericanGirl.com,US,,,369
Store.AmericanApparel.net,US,,,219
AmericanGirl.com,US,,,369
AmericanGirl.com,US,,,369
AmericanGirl.com,US,,,369
AmesWalker.com,US,,,1087
AmericanStationery.com,US,,Magento,1199
AmericanMusical.com,US,,,427
AmericanStationery.com,US,,Magento,1199
AmericanMeadows.com,US,,Magento,475
Amway.com,US,,,423
AMIclubwear.com,US,,Magento,622
ANSGear.com,US,,Volusion,589
Angara.com,US,,Magento,1822
AndrewChristian.com,CA,,Magento,1778
Aquarelle-Maison.com,US,,,180
Store.Apple.com,US,,,194
APMEX.com,US,,,373
AppliancePartsPros.com,US,,,533
ApplianceZone.com,US,,Bigcommerce,725
Article.com,US,,,269
